+1.789420e-06    +5.324839e-05    +2.374246e-06
+5.827318e-05    +4.256866e-05    +8.892374e-05
+1.267394e-04    +5.881358e-05    +1.233944e-04
+1.015691e-04    +6.310094e-05    +1.264447e-05
+2.802171e-05    +6.285923e-05    +6.266049e-05
+1.268714e-04    +2.858383e-05    +5.472680e-05
+6.335722e-05    +4.004574e-05    +1.533120e-05
+9.328339e-05    +7.490807e-05    +4.753867e-05
+1.208786e-05    +4.994152e-05    +7.305583e-05
+7.512834e-05    +2.828274e-05    +6.091915e-06
+1.113317e-04    +1.765761e-05    +6.860171e-05
+8.779745e-06    +2.491875e-06    +8.103059e-05
+4.027190e-05    +1.988274e-05    +8.755033e-05
+4.769168e-05    +5.662605e-05    +3.719739e-05
+8.116431e-05    +1.136127e-05    +5.192624e-05
+9.462352e-05    +6.620793e-05    +6.683816e-06
+4.769168e-05    +5.662605e-05    +3.719739e-05
+3.353694e-05    +3.792828e-05    +5.241727e-05
+1.058320e-04    +7.965432e-05    +1.219620e-04
+2.744503e-05    +3.350451e-05    +3.276559e-05
+1.058320e-04    +7.965432e-05    +1.219620e-04
+5.827318e-05    +4.256867e-05    +8.892374e-05
+2.744503e-05    +3.350452e-05    +3.276559e-05
+7.573177e-05    +7.287821e-06    +2.967350e-05
+1.158365e-04    +1.021944e-05    +4.116382e-05
+4.769168e-05    +5.662605e-05    +3.719739e-05
+7.573177e-05    +7.287820e-06    +2.967350e-05
+1.094829e-05    +2.623199e-05    +2.762747e-05
+6.156139e-05    +4.920899e-05    +7.908134e-05
+2.009174e-05    +1.664587e-05    +7.820430e-07
+1.074317e-05    +6.211971e-05    +1.645530e-06
+1.264551e-04    +3.291254e-05    +3.638611e-06
+6.460032e-05    +6.917555e-05    +2.683847e-05
+1.203098e-05    +8.899848e-06    +8.824163e-05
+1.096936e-04    +8.212277e-05    +1.185869e-04
+1.205673e-04    +9.249283e-05    +5.709616e-05
+4.630756e-05    +3.804497e-05    +2.269412e-05
+8.888769e-05    +1.945745e-05    +1.184129e-04
+1.083898e-04    +5.325781e-06    +9.324597e-05
+1.033147e-05    +2.367592e-05    +7.263363e-05
+4.007809e-05    +7.957281e-05    +7.542105e-05
+9.328339e-05    +7.490807e-05    +4.753867e-05
+1.247811e-05    +2.830343e-05    +1.172468e-04
+4.399303e-05    +7.790010e-05    +1.147464e-04
+4.890224e-06    +5.574090e-05    +8.729609e-05
+3.331075e-05    +1.750894e-05    +4.215696e-06
+1.267394e-04    +5.881359e-05    +1.233944e-04
+2.857179e-05    +7.014058e-05    +4.124469e-05
+1.236708e-04    +5.893200e-05    +6.962470e-05
+6.388389e-05    +4.024394e-05    +3.142261e-05
+4.875575e-05    +1.573830e-05    +1.126286e-04
+1.254142e-04    +4.909334e-05    +7.595483e-05
+7.088637e-05    +1.405349e-05    +4.071844e-05
+1.203098e-05    +8.899849e-06    +8.824163e-05
+1.038600e-04    +4.791904e-05    +8.952500e-05
+2.857179e-05    +7.014058e-05    +4.124469e-05
+1.166960e-04    +4.720547e-05    +1.138951e-04
+1.096936e-04    +8.212277e-05    +1.185869e-04
+1.519785e-05    +7.783655e-05    +7.281998e-05
+1.096936e-04    +8.212277e-05    +1.185869e-04
